"textname","func","prop","date"
"text31","subj",0.004273504273504274,"1385"
"text31","temp",0.7333333333333333,"1385"
"text32","abl",1,"1550"
"text32","ass",1,"1550"
"text32","ben",0,"1550"
"text32","com",1,"1550"
"text32","dobj",0,"1550"
"text32","goal",0.125,"1550"
"text32","ins",0.0625,"1550"
"text32","loc",1,"1550"
"text32","poss",0,"1550"
"text32","recip",0,"1550"
"text32","subj",0,"1550"
"text32","temp",1,"1550"
"text35","abl",0.96,"1695"
"text35","agent",0.75,"1695"
"text35","ass",0.8387096774193549,"1695"
"text35","ben",0.875,"1695"
"text35","com",0.8823529411764706,"1695"
"text35","dobj",0.010471204188481676,"1695"
"text35","goal",0.25,"1695"
"text35","ins",0.3333333333333333,"1695"
"text35","loc",0.96875,"1695"
"text35","poss",0.8888888888888888,"1695"
"text35","recip",0,"1695"
"text35","subj",0,"1695"
"text35","temp",0.6428571428571429,"1695"
"text37","abl",0.5833333333333334,"1450"
"text37","agent",1,"1450"
"text37","ass",0.5,"1450"
"text37","ben",0.5,"1450"
"text37","com",0.9166666666666666,"1450"
"text37","dobj",0,"1450"
"text37","goal",0.4444444444444444,"1450"
"text37","ins",0.2,"1450"
"text37","loc",0.9178082191780822,"1450"
"text37","poss",0,"1450"
"text37","recip",0,"1450"
"text37","subj",0.01098901098901099,"1450"
"text37","temp",0.625,"1450"
"text39","abl",0.7142857142857143,"1550"
"text39","ass",1,"1550"
"text39","ben",0.3333333333333333,"1550"
"text39","com",1,"1550"
"text39","dobj",0.018518518518518517,"1550"
"text39","goal",0.38095238095238093,"1550"
"text39","ins",0,"1550"
"text39","loc",0.9743589743589743,"1550"
"text39","poss",0,"1550"
"text39","recip",0,"1550"
"text39","subj",0.018518518518518517,"1550"
"text39","temp",0.8571428571428571,"1550"
"text5","abl",1,"1814"
"text5","agent",1,"1814"
"text5","ass",1,"1814"
"text5","ben",1,"1814"
"text5","com",1,"1814"
"text5","dobj",0.005847953216374269,"1814"
"text5","goal",0.42424242424242425,"1814"
"text5","ins",1,"1814"
"text5","loc",0.9873417721518988,"1814"
"text5","poss",0.8333333333333334,"1814"
"text5","recip",0.4444444444444444,"1814"
"text5","subj",0,"1814"
"text5","temp",0.1111111111111111,"1814"
"text8","abl",1,"1750"
"text8","ass",1,"1750"
"text8","ben",0.25,"1750"
"text8","com",1,"1750"
"text8","dobj",0,"1750"
"text8","goal",0.16,"1750"
"text8","ins",1,"1750"
"text8","loc",0.9523809523809523,"1750"
"text8","poss",NA,"1750"
"text8","recip",0.4,"1750"
"text8","subj",0,"1750"
"text8","temp",0.5,"1750"
"text9","abl",0.96875,"1784"
"text9","agent",1,"1784"
"text9","ben",0.625,"1784"
"text9","com",1,"1784"
"text9","dobj",0.038461538461538464,"1784"
"text9","goal",0.5454545454545454,"1784"
"text9","ins",1,"1784"
"text9","loc",0.9354838709677419,"1784"
"text9","poss",1,"1784"
"text9","recip",0,"1784"
"text9","subj",0,"1784"
"text9","temp",0.8,"1784"
